SlpCode,SlpName,Memo,Active
1,Anthony Gabriel Rios,Região Nordeste,Y
2,Daniel Oliveira,Região Sudeste,N
3,Sabrina Cassiano,Região Sudeste,Y
4,Thomas Barbosa,Região Sudeste,N
5,Dra. Beatriz da Cunha,Região Centro-Oeste,Y
6,Isabel Marques,Região Nordeste,Y
7,João Martins,Região Sudeste,Y
8,Carlos Eduardo Cavalcanti,Região Nordeste,Y
9,João Vitor Fonseca,Região Sul,Y
10,Luara Lima,Região Sul,N
11,Srta. Aylla Teixeira,Região Centro-Oeste,N
12,Anthony Carvalho,Região Nordeste,Y
13,Eloá Farias,Região Nordeste,Y
14,Dr. João Felipe Siqueira,Região Nordeste,Y
15,Marcelo Fernandes,Região Sul,Y
16,Danilo Guerra,Região Sul,Y
17,Mirella da Mata,Região Centro-Oeste,Y
18,Pietra Leão,Região Sudeste,N
19,Eloah Camargo,Região Centro-Oeste,Y
20,Bento Castro,Região Centro-Oeste,Y
21,Oliver Pastor,Região Sudeste,Y
22,Maysa Cirino,Região Sudeste,Y
23,Maria Helena Vasconcelos,Região Centro-Oeste,Y
24,Sr. Davi Lucca Mendes,Região Sul,Y
25,Brenda Jesus,Região Norte,Y
